DASYLab - V 12.00.01
Worksheet name: RSG 400K RS232 - MASTER
Recording date     : 5/20/2014,  7:32:23 PM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 2
Measurement time[s]	Disp [in]	Load [lb]	
1.0	0.51250	0	
1.1	0.51230	0	
1.2	0.51230	0	
1.2	0.51200	0	
1.3	0.51230	0	
1.3	0.51230	0	
1.4	0.51230	0	
1.4	0.51200	0	
1.5	0.51200	0	
1.6	0.51230	0	
1.6	0.51230	0	
1.7	0.51230	0	
1.7	0.51200	0	
1.8	0.51200	0	
1.9	0.51200	0	
1.9	0.51230	0	
2.0	0.51200	0	
2.1	0.51200	0	
2.1	0.51200	0	
2.2	0.51230	0	
2.2	0.51250	0	
2.3	0.51230	0	
2.3	0.51230	0	
2.4	0.51250	0	
2.5	0.51230	0	
2.6	0.51230	0	
2.7	0.51230	0	
2.8	0.51200	0	
2.9	0.51200	0	
3.0	0.51230	0	
3.1	0.51230	0	
3.2	0.51200	0	
3.3	0.51200	0	
3.4	0.51200	0	
3.5	0.51200	0	
3.6	0.51200	0	
3.7	0.51200	0	
3.8	0.51200	0	
3.9	0.51230	0	
4.0	0.51230	0	
4.1	0.51230	0	
4.2	0.51230	0	
4.3	0.51200	0	
4.4	0.51200	0	
4.5	0.51200	0	
4.6	0.51200	0	
4.7	0.51200	0	
4.8	0.51230	0	
4.9	0.51230	0	
5.0	0.51230	0	
5.1	0.51230	0	
5.2	0.51230	0	
5.3	0.51230	0	
5.4	0.51230	0	
5.5	0.51230	0	
5.6	0.51230	0	
5.7	0.51250	0	
5.8	0.51280	0	
5.9	0.51280	0	
6.0	0.51280	0	
6.1	0.51280	0	
6.2	0.51280	0	
6.3	0.51280	0	
6.4	0.51300	0	
6.5	0.51300	0	
6.6	0.51350	0	
6.7	0.51380	0	
6.8	0.51400	0	
6.9	0.51430	0	
7.0	0.51430	0	
7.1	0.51450	0	
7.2	0.51480	0	
7.3	0.51500	0	
7.4	0.51530	0	
7.5	0.51600	0	
7.6	0.51630	0	
7.7	0.51650	0	
7.8	0.51680	0	
7.9	0.51700	100	
8.0	0.51730	0	
8.1	0.51780	0	
8.2	0.51800	0	
8.3	0.51850	0	
8.4	0.51930	0	
8.5	0.51950	0	
8.6	0.52000	100	
8.7	0.52030	100	
8.8	0.52050	100	
8.9	0.52100	100	
9.0	0.52150	100	
9.1	0.52180	100	
9.2	0.52230	100	
9.3	0.52330	200	
9.4	0.52380	200	
9.5	0.52450	300	
9.6	0.52500	300	
9.7	0.52580	300	
9.8	0.52600	300	
9.9	0.52680	300	
10.0	0.52750	400	
10.1	0.52830	400	
10.2	0.52900	400	
10.3	0.53000	400	
10.4	0.53080	400	
10.5	0.53180	400	
10.6	0.53250	400	
10.7	0.53300	400	
10.8	0.53400	400	
10.9	0.53500	500	
11.0	0.53580	500	
11.1	0.53680	500	
11.2	0.53800	500	
11.3	0.53880	500	
11.4	0.53980	600	
11.5	0.54050	600	
11.6	0.54130	600	
11.7	0.54230	600	
11.8	0.54300	700	
11.9	0.54400	700	
12.0	0.54500	700	
12.1	0.54600	700	
12.2	0.54680	700	
12.3	0.54780	800	
12.4	0.54850	800	
12.5	0.54930	800	
12.6	0.55030	800	
12.7	0.55130	800	
12.8	0.55230	800	
12.9	0.55310	800	
13.0	0.55380	800	
13.1	0.55480	800	
13.2	0.55560	900	
13.3	0.55630	900	
13.4	0.55710	900	
13.5	0.55810	900	
13.6	0.55880	1000	
13.7	0.55980	1000	
13.8	0.56060	1000	
13.9	0.56130	1000	
14.0	0.56230	1000	
14.1	0.56310	1100	
14.2	0.56410	1100	
14.3	0.56480	1100	
14.4	0.56560	1100	
14.5	0.56660	1100	
14.6	0.56730	1200	
14.7	0.56810	1200	
14.8	0.56910	1200	
14.9	0.56980	1200	
15.0	0.57060	1200	
15.1	0.57130	1200	
15.2	0.57230	1200	
15.3	0.57330	1200	
15.4	0.57410	1300	
15.5	0.57510	1300	
15.6	0.57580	1300	
15.7	0.57660	1300	
15.8	0.57730	1300	
15.9	0.57830	1400	
16.0	0.57910	1400	
16.1	0.58010	1400	
16.2	0.58110	1400	
16.3	0.58180	1500	
16.4	0.58260	1500	
16.5	0.58360	1500	
16.6	0.58430	1500	
16.7	0.58510	1500	
16.8	0.58610	1500	
16.9	0.58680	1600	
17.0	0.58760	1600	
17.1	0.58860	1600	
17.2	0.58930	1600	
17.3	0.59010	1600	
17.4	0.59080	1600	
17.5	0.59180	1600	
17.6	0.59260	1600	
17.7	0.59360	1700	
17.8	0.59430	1600	
17.9	0.59530	1700	
18.0	0.59610	1700	
18.1	0.59710	1700	
18.2	0.59780	1700	
18.3	0.59830	1800	
18.4	0.59930	1800	
18.5	0.60010	1800	
18.6	0.60090	1800	
18.7	0.60160	1900	
18.8	0.60260	1900	
18.9	0.60360	1900	
19.0	0.60440	1900	
19.1	0.60510	1900	
19.2	0.60610	1900	
19.3	0.60690	2000	
19.4	0.60760	2000	
19.5	0.60860	2000	
19.6	0.60940	2000	
19.7	0.61040	2000	
19.8	0.61140	2000	
19.9	0.61210	2000	
20.0	0.61290	2000	
20.1	0.61360	2000	
20.2	0.61460	2000	
20.3	0.61540	2100	
20.4	0.61610	2100	
20.5	0.61710	2100	
20.6	0.61790	2100	
20.7	0.61860	2200	
20.8	0.61960	2200	
20.9	0.62040	2200	
21.0	0.62110	2200	
21.1	0.62190	2200	
21.2	0.62290	2300	
21.3	0.62360	2300	
21.4	0.62460	2300	
21.5	0.62540	2300	
21.6	0.62640	2300	
21.7	0.62710	2400	
21.8	0.62790	2400	
21.9	0.62860	2400	
22.0	0.62940	2400	
22.1	0.63010	2400	
22.2	0.63110	2400	
22.3	0.63210	2400	
22.4	0.63310	2400	
22.5	0.63410	2400	
22.6	0.63490	2400	
22.7	0.63590	2400	
22.8	0.63660	2500	
22.9	0.63710	2500	
23.0	0.63790	2500	
23.1	0.63890	2500	
23.2	0.63960	2500	
23.3	0.64090	2500	
23.4	0.64160	2600	
23.5	0.64260	2600	
23.6	0.64340	2600	
23.7	0.64440	2600	
23.8	0.64510	2600	
23.9	0.64560	2700	
24.0	0.64640	2700	
24.1	0.64710	2700	
24.2	0.64810	2700	
24.3	0.64940	2700	
24.4	0.65040	2700	
24.5	0.65120	2700	
24.6	0.65190	2800	
24.7	0.65290	2800	
24.8	0.65340	2800	
24.9	0.65420	2800	
25.0	0.65490	2800	
25.1	0.65590	2800	
25.2	0.65670	2800	
25.3	0.65790	2800	
25.4	0.65890	2800	
25.5	0.65970	2800	
25.6	0.66040	2800	
25.7	0.66120	2800	
25.8	0.66170	2800	
25.9	0.66270	2900	
26.0	0.66340	2900	
26.1	0.66440	2900	
26.2	0.66570	2900	
26.3	0.66640	2900	
26.4	0.66740	2900	
26.5	0.66820	2900	
26.6	0.66920	3000	
26.7	0.66970	3000	
26.8	0.67040	3000	
26.9	0.67120	3000	
27.0	0.67190	3000	
27.1	0.67290	3000	
27.2	0.67420	3000	
27.3	0.67490	3100	
27.4	0.67590	3000	
27.5	0.67670	3100	
27.6	0.67770	3100	
27.7	0.67790	3100	
27.8	0.67890	3100	
27.9	0.67970	3100	
28.0	0.68070	3100	
28.1	0.68140	3100	
28.2	0.68270	3100	
28.3	0.68340	3200	
28.4	0.68440	3200	
28.5	0.68520	3200	
28.6	0.68570	3200	
28.7	0.68640	3200	
28.8	0.68740	3200	
28.9	0.68820	3200	
29.0	0.68920	3200	
29.1	0.69040	3200	
29.2	0.69120	3200	
29.3	0.69190	3200	
29.4	0.69270	3300	
29.5	0.69370	3300	
29.6	0.69470	3400	
29.7	0.69520	3400	
29.8	0.69590	3500	
29.9	0.69690	3500	
30.0	0.69770	3600	
30.1	0.69870	3600	
30.2	0.69920	3700	
30.3	0.70020	3700	
30.4	0.70100	3800	
30.5	0.70170	3800	
30.6	0.70250	3900	
30.7	0.70350	3900	
30.8	0.70450	4000	
30.9	0.70520	4000	
31.0	0.70600	4000	
31.1	0.70700	4100	
31.2	0.70750	4200	
31.3	0.70850	4200	
31.4	0.70920	4300	
31.5	0.71000	4300	
31.6	0.71100	4400	
31.7	0.71170	4400	
31.8	0.71250	4400	
31.9	0.71320	4500	
32.0	0.71400	4600	
32.1	0.71470	4700	
32.2	0.71570	4800	
32.3	0.71650	4800	
32.4	0.71720	4900	
32.5	0.71820	5100	
32.6	0.71900	5200	
32.7	0.71970	5300	
32.8	0.72050	5400	
32.9	0.72120	5500	
33.0	0.72200	5600	
33.1	0.72270	5700	
33.2	0.72350	5900	
33.3	0.72420	6000	
33.4	0.72500	6100	
33.5	0.72570	6200	
33.6	0.72650	6400	
33.7	0.72720	6400	
33.8	0.72800	6600	
33.9	0.72870	6700	
34.0	0.72950	6800	
34.1	0.73020	6900	
34.2	0.73100	7100	
34.3	0.73170	7200	
34.4	0.73270	7300	
34.5	0.73350	7300	
34.6	0.73420	7400	
34.7	0.73500	7600	
34.8	0.73600	7700	
34.9	0.73670	7900	
35.0	0.73750	8000	
35.1	0.73850	8200	
35.2	0.73920	8300	
35.3	0.74000	8400	
35.4	0.74070	8500	
35.5	0.74150	8800	
35.6	0.74250	8800	
35.7	0.74320	9000	
35.8	0.74400	9200	
35.9	0.74500	9300	
36.0	0.74570	9500	
36.1	0.74670	9600	
36.2	0.74750	9800	
36.3	0.74820	10000	
36.4	0.74900	10100	
36.5	0.75000	10300	
36.6	0.75070	10400	
36.7	0.75150	10600	
36.8	0.75250	10800	
36.9	0.75330	10900	
37.0	0.75400	11100	
37.1	0.75500	11200	
37.2	0.75580	11400	
37.3	0.75680	11600	
37.4	0.75750	11700	
37.5	0.75830	11900	
37.6	0.75900	12000	
37.7	0.75980	12200	
37.8	0.76050	12400	
37.9	0.76150	12500	
38.0	0.76250	12700	
38.1	0.76350	12800	
38.2	0.76430	13000	
38.3	0.76530	13200	
38.4	0.76600	13300	
38.5	0.76700	13500	
38.6	0.76780	13600	
38.7	0.76850	13900	
38.8	0.76930	14000	
38.9	0.77030	14200	
39.0	0.77100	14400	
39.1	0.77200	14500	
39.2	0.77280	14700	
39.3	0.77350	14800	
39.4	0.77450	15000	
39.5	0.77530	15200	
39.6	0.77630	15300	
39.7	0.77700	15500	
39.8	0.77780	15700	
39.9	0.77880	15900	
40.0	0.77950	16000	
40.1	0.78030	16200	
40.2	0.78080	16500	
40.3	0.78180	16500	
40.4	0.78250	16700	
40.5	0.78350	16800	
40.6	0.78430	17100	
40.7	0.78500	17200	
40.8	0.78580	17400	
40.9	0.78680	17600	
41.0	0.78750	17700	
41.1	0.78850	18000	
41.2	0.78930	18100	
41.3	0.79030	18300	
41.4	0.79130	18400	
41.5	0.79200	18700	
41.6	0.79280	18800	
41.7	0.79380	19000	
41.8	0.79450	19200	
41.9	0.79530	19400	
42.0	0.79630	19600	
